Username,synthetic_crisis_label,Distortion_Rate,Volatility_Score,Risk_Score_synth,n_comments
user_000,False,0.1647871074917784,0.3402504100417449,33.929370173610096,25
user_001,False,0.13709792957792338,0.3594681651102365,34.138364292933744,25
user_002,False,0.05927981272345613,0.325430254873863,32.07958736678012,25
user_003,True,0.5548910945568668,0.6310935279340246,48.85882389791654,25
user_004,False,0.06516484517819882,0.3579106865883685,32.984364606460936,25
user_005,False,0.06452115632547022,0.39001499707185056,32.85017221239174,25
user_006,True,0.5726842935974681,0.6409110942307834,49.29562739017832,25
user_007,False,0.18744859024601046,0.3136319209563106,34.19951396773017,25
user_008,False,0.18724338541082602,0.30624863167808974,34.119420729111035,25
user_009,False,0.15542629483836473,0.3429703762644394,33.83335412727891,25
user_010,False,0.08332953278408967,0.3539311035925708,32.0630646545279,25
user_011,False,0.13693090362775392,0.2932799229426071,33.43726236878236,25
user_012,False,0.13188334648706806,0.3359606486713962,34.38609513380081,25
user_013,False,0.16523827300851093,0.32111452011243913,34.44632455196204,25
user_014,False,0.17252681263969027,0.28330376896321574,35.10711848585819,25
user_015,False,0.16332891437754493,0.4107897874176587,34.49855058523188,25
user_016,False,0.06265977678718182,0.3795430843505249,32.09256331612899,25
user_017,False,0.05945985719002035,0.32556384006545114,30.17323284517334,25
user_018,False,0.19303634240876005,0.28319369268924777,33.68068297589766,25
user_019,False,0.056641063142005836,0.443632054106867,31.243728765768047,25
user_020,True,0.5097402540455188,0.6092963531640072,48.912817614508185,25
user_021,True,0.7350298802975639,0.6577376754023845,54.39493805147975,25
user_022,False,0.09445469044053255,0.33318035624136383,32.5875972880675,25
user_023,True,0.4591013725858916,0.8399024910116719,49.99627643241385,25
user_024,True,0.38714903162401865,0.711498637769388,44.96266869273791,25
user_025,False,0.1435628892700031,0.31673430261631635,31.720756199862596,25
user_026,False,0.1579947191785963,0.39693765883801174,33.51998504089368,25
user_027,False,0.07128031844259963,0.3812466163544131,31.76823487381464,25
user_028,False,0.0629586155729202,0.23351610493147337,30.449993965036015,25
user_029,False,0.11973391228292002,0.36716989952284584,33.03055786361235,25
user_030,False,0.0933922052664592,0.36026520795738237,33.035133518778366,25
user_031,True,0.41961329802584746,0.6062064681673291,45.601000232854176,25
user_032,True,0.7275836665664017,0.907901410334051,56.17134750913921,25
user_033,True,0.667296051159503,0.7032795338078793,53.834065296993316,25
user_034,False,0.19061785502970963,0.39410869483821453,35.454479944238074,25
user_035,True,0.688621180876373,0.7026636458525936,52.91683881438748,25
user_036,False,0.16577605809061163,0.3503533758420811,32.31352255238114,25
user_037,True,0.5450252789975033,0.6984889565318605,48.94720628774249,25
user_038,False,0.07837784149825644,0.3865143599845203,33.58094356103327,25
user_039,True,0.6019552962933299,0.6816959151201168,50.62811768011831,25
user_040,False,0.11917235550800925,0.36398095361406757,32.69691792103649,25
user_041,False,0.14688926244382594,0.42240566662131307,33.95553448770732,25
user_042,False,0.11775368386335158,0.2955109366275893,32.77673688812316,25
user_043,False,0.16975428612175367,0.3811867724269179,32.61867869640949,25
user_044,False,0.1782314179146739,0.43715907695624945,34.76875449243927,25
user_045,False,0.08816867241487072,0.4021532040907559,31.789003269773456,25
user_046,True,0.38392811003530586,0.6904612964536243,47.19020314918497,25
user_047,False,0.07301260285985493,0.27236939018336226,30.670967351189034,25
user_048,False,0.1253031898121914,0.2864450459242784,33.99912117359229,25
user_049,False,0.09882208943313295,0.2871792301515651,31.354101570497075,25
user_050,False,0.11870769616536832,0.42471321089883596,33.735332235912956,25
user_051,False,0.1599995777032326,0.322097278343147,32.877794711964484,25
user_052,True,0.6510886244533806,0.5113657445534291,51.00600824017689,25
user_053,False,0.18460374252649525,0.4033268662565229,35.01229835980297,25
user_054,False,0.09366898192053202,0.33167076242769866,31.028685678057226,25
user_055,True,0.43321802283419314,0.5991520520076644,44.62992778007599,25
user_056,False,0.08302607638420448,0.3143839358645678,32.12121976599669,25
user_057,False,0.06997865291954258,0.4155768791588798,32.22171804028563,25
user_058,False,0.0815235621981788,0.38070707038308954,33.10030106881627,25
user_059,False,0.17372669711012276,0.35107133064296175,33.90447724319365,25
user_060,False,0.1245059009879555,0.3267074407481104,32.980849719459485,25
user_061,False,0.19824587573079483,0.3800658530015773,34.223987266922606,25
user_062,False,0.15536565968192675,0.4150298722462655,33.58520384723697,25
user_063,True,0.49429312493689426,0.8185630125705862,49.90837134591488,25
user_064,False,0.12955236280311633,0.4327544223891273,35.003260873112986,25
user_065,True,0.6897368444611953,0.6925076796735702,52.75474838483055,25
user_066,False,0.1299507869311542,0.34204293265737096,32.916494445039966,25
user_067,True,0.734497873882318,0.7831968209598836,55.99750532269223,25
user_068,False,0.072995627445131,0.30439007794105993,30.561002564852558,25
user_069,True,0.5040242074956418,0.717605183356494,48.39999067913407,25
user_070,False,0.127024091199216,0.33447070011199004,33.47576570056913,25
user_071,False,0.19190360478530422,0.28446556540407797,33.694772010121916,25
user_072,False,0.08658757412552195,0.3323498012567897,31.871727411161462,25
user_073,False,0.17860062051557823,0.34644248833255625,33.43706167222353,25
user_074,True,0.47526563099915514,0.701375705779731,47.955525274693315,25
user_075,False,0.08338346302513347,0.32418067370823533,30.41131745927805,25
user_076,False,0.052485803926829055,0.35388023940299473,31.44893619638074,25
user_077,False,0.13288904046851668,0.4007836921087911,33.24799773983973,25
user_078,False,0.10580554377090476,0.33624809856204674,31.10579210718241,25
user_079,True,0.6276375767239594,0.8053512858760329,53.4418020655027,25
