User,Comment_Text,Emotion_Label,Emotion_Score,Sentiment,Sentiment_Score,Distortion_Indicator,Distortion_Score,Sadness_Score,Anger_Score,Fear_Score,Joy_Score,Love_Score,Surprise_Score,Post_Shortcode,Post_Owner,Comment_ID,Comment_Likes,Comment_Created_At
user303,I hate my life. Everything is falling apart and I don't know what to do.,sadness,0.9669429063796997,negative,0.9461442828178406,True,1.9427514970302582,0.9669429063796997,0.7830777764320374,0.19273081421852112,0.0074054463766515255,0.00799762737005949,0.018098438158631325,GHI789,influencer2,,3,2024-01-15T15:00:00Z
user789,I'm so scared about the future. What if everything goes wrong?,fear,0.9773420691490173,negative,0.9123366475105286,True,1.5815354473888874,0.563317060470581,0.04087631776928902,0.9773420691490173,0.02376089058816433,0.018602404743433,0.02262493595480919,DEF456,influencer1,,8,2024-01-15T12:00:00Z
user606,I'm terrified of what might happen. This is really scary stuff.,fear,0.9821891188621521,negative,0.8776641488075256,True,1.5119731798768044,0.4052533507347107,0.12453071027994156,0.9821891188621521,0.015343316830694675,0.01181949581950903,0.026150036603212357,MNO345,influencer3,,6,2024-01-15T18:00:00Z
user456,This is absolutely disgusting! I can't believe you would post this. You're the worst!,anger,0.9846328496932983,negative,0.9532322883605957,True,1.3285818099975586,0.21138720214366913,0.9846328496932983,0.13256175816059113,0.01915786787867546,0.01184753142297268,0.06429088860750198,ABC123,influencer1,,2,2024-01-15T11:00:00Z
user909,I feel so worthless and alone. Nobody cares about me anymore.,sadness,0.9813594818115234,negative,0.9355027079582214,True,1.2849286943674088,0.9813594818115234,0.14821718633174896,0.15535202622413635,0.01510525494813919,0.014037429355084896,0.017342785373330116,PQR678,influencer3,,4,2024-01-15T21:00:00Z
user505,You make me so angry with your ignorance. This is unacceptable behavior.,anger,0.9834380745887756,negative,0.951366662979126,True,1.250430103391409,0.2256363183259964,0.9834380745887756,0.04135571047663689,0.018366951495409012,0.0070405458100140095,0.01694997400045395,JKL012,influencer2,,1,2024-01-15T17:00:00Z
user123,I'm feeling so hopeless and depressed lately. Nothing seems to matter anymore.,sadness,0.9777516722679138,negative,0.9260882139205933,True,1.1973352134227753,0.9777516722679138,0.07358884811401367,0.14599469304084778,0.01890529878437519,0.015917770564556122,0.016241535544395447,ABC123,influencer1,,5,2024-01-15T10:30:00Z
user404,Wow! I'm so surprised by this news! Incredible!,joy,0.8955666422843933,positive,0.9715310335159302,False,0.44114911928772926,0.059712182730436325,0.07453306764364243,0.3069038689136505,0.8955666422843933,0.2250937819480896,0.7858990430831909,JKL012,influencer2,,12,2024-01-15T16:00:00Z
user707,You're the best! I absolutely love everything you do! So much joy!,joy,0.9806797504425049,positive,0.985808253288269,False,0.07111073471605778,0.031357407569885254,0.022395411506295204,0.01735791563987732,0.9806797504425049,0.9232687950134277,0.04062948375940323,MNO345,influencer3,,20,2024-01-15T19:00:00Z
user101,This makes me so happy! You're amazing and I love your content!,joy,0.9829151630401611,positive,0.9899764657020569,False,0.06584960222244263,0.02629765495657921,0.022391589358448982,0.017160357907414436,0.9829151630401611,0.9131864309310913,0.0438053123652935,DEF456,influencer1,,15,2024-01-15T13:00:00Z
user808,Nice picture. Looks good.,joy,0.9882975220680237,positive,0.9738346934318542,False,0.04134000465273857,0.009277155622839928,0.014859355986118317,0.017203493043780327,0.9882975220680237,0.3460116386413574,0.043423548340797424,PQR678,influencer3,,7,2024-01-15T20:00:00Z
user202,Great post! Very informative and well done.,joy,0.9909572601318359,positive,0.980494499206543,False,0.038899959065020084,0.008208777755498886,0.01654413528740406,0.014147046022117138,0.9909572601318359,0.3367767930030823,0.08207012712955475,GHI789,influencer2,,10,2024-01-15T14:00:00Z
