Case_User,Comment_Text,Emotion_Label,Sentiment_Score,Distortion_Indicator
chrishemsworth,"I’m launching a new series with my best mates! I’m sending @azzagrist and @zocobodypro around the world to unlock health and wellness secrets to live happier and healthier lives, all while risking their own for our entertainment 😂

Azza & Zoc Do Earth premieres tomorrow on our @wildstateprod YouTube channel. Link in bio to subscribe. You won’t want to miss this.",joy,0.9647557269781828,0
chrishemsworth,"Te invito a mi casa, no tengo mucho, pero descansaras. Chile",neutral,0.08801994100213051,0
chrishemsworth,"Excellence, dedication, and timeless charisma. 👏",neutral,0.9498304761946201,0
chrishemsworth,Health and wellness is an important part of life. Love your body to love you i say. ❤️,joy,0.8773781200870872,0
chrishemsworth,Take me with you'lls,neutral,0.35599974170327187,0
chrishemsworth,I’ll fight you big guy,neutral,-0.24614161252975464,0
chrishemsworth,"Call me for any heist needs 😂 @mrbeast 

Crime 101 in theaters now!
@crime101film @amazonmgmstudios",fear,0.5989672779105604,0
chrishemsworth,Thor☠️,neutral,-0.6958119384944439,0
hollywoodauthentic,"The Australian actor is about to break new ground with his role as an introverted jewel thief working jobs along LA’s 101 freeway – with Mark Ruffalo’s crumpled cop in pursuit. Greg Williams is on-set and Hemsworth tells Hollywood Authentic about re-teaming with The Hulk, what keeps him curious and which castmate intimidated him…

Photography by @gregwilliamsphotography
Words by @crowther_jane",fear,0.22245496278628707,0
hollywoodauthentic,Não pega ninguém 😂😂😂,neutral,-0.18608807772397995,0
hollywoodauthentic,Global impact. Unmatched energy. Always impressive. 🔥,neutral,0.9639092925935984,0
hollywoodauthentic,Am. bigbig.Fan,surprise,0.6262631341814995,0
chrishemsworth,"Thank you all for the love and support on this film ❤️. Incredibly proud of what we’ve done with this one and excited for you all to enjoy it. 

Crime 101 is in cinemas now! Check it out
@amazonmgmstudios @crime101film",joy,0.9878901444608346,0
chrishemsworth,Can’t wait ❤️,joy,0.9833369238767773,0
chrishemsworth,Why are you this adorable blessing my anything,surprise,0.9069406613707542,0
chrishemsworth,goodonya !!!,joy,0.9726092074997723,0
chrishemsworth,Ahi estaremos para la pelicula❤️,neutral,0.8149956152774394,0
chrishemsworth,Great film. Loved you all 🙌,joy,0.975005965679884,0
chrishemsworth,"Thank you, @time. Honored to be recognized for the work we did on longevity health and wellness with @natgeo 

Read the story at link in bio",joy,0.9790492129977793,0
chrishemsworth,My 🐐,joy,0.8491344591602683,0
chrishemsworth,@chrissstina13 @pinksue7,neutral,0.17626839131116867,0
chrishemsworth,I have always loved Chris Hemsworth as Thor. Now I love him for being such an amazing human💕,joy,0.9782437914982438,0
crime101film,"High-stakes energy meant for the big screen. #Crime101 is Certified Fresh at 88% on Rotten Tomatoes, and in Theaters and IMAX everywhere tonight. Get tickets now",fear,0.8999798616860062,0
crime101film,Oh my look out !!!! where's my gun and badge !😂😂😂,surprise,-0.26852473616600037,0
crime101film,"The movie was very good, the caste was great. Halle Berry was really good at portraying her character.  Funnily I found that halfway through the film,  Mark Ruffalo started looking ""different"". I can't put my finger on what it was.  That Barry Keoghan is c-r-a-z-y good in his role.",joy,0.9615427949465811,0
crime101film,Just came back from seeing the movie.  My Gawd!! Chris' hair and eyebrows were dyed dark brown!!!! NO-NO-NO...😭,surprise,-0.8829484414309263,0
crime101film,Agreed,neutral,0.22680698335170746,0
crime101film,I love acting but unfortunately I'm a Zimbabwean,sadness,-0.3824310004711151,0
crime101film,Just saw it yesterday!! 🔥,neutral,0.9620892321690917,0
chrishemsworth,"Amazing night at the LA premiere for Crime 101. Incredibly grateful for everyone coming along. Response to the film has been amazing, can’t wait for everyone to check it out 🙏 in cinemas Feb 13th",surprise,0.9886914633680135,0
chrishemsworth,I’m waiting for Doomsday,neutral,0.1339966244995594,0
chrishemsworth,داداشم❤️🙌,neutral,0.9162595253437757,0
chrishemsworth,Thorrrr!!!! Son of Odin will be back in avengers doomsday❤️❤️😍😍😍,fear,0.9787630683276802,0
chrishemsworth,Killin it boss! Some of your movies helped inspire me to get back in shape. Keep crushing it brother!,anger,0.9743314795196056,0
chrishemsworth,Woah Liam is taller now or is it the shoes,surprise,0.23169692605733871,0
